job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,salary_hourly,company_name,company_rating,state,company_age,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting
BI Implementation Specialist,69282.0,501-1000,Government,Banking & Lending,Finance,$10+ billion (USD),0,Reserve Bank of Australia,3.5,NSW,,1,1,1,1,1,0,0,0,0,1
Senior Analytics & Insights Analyst,83666.0,1001-5000,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),0,TPG Telecom,4.0,NSW,3.0,1,1,0,1,0,0,0,1,1,1
IT Risk and Assurance Analyst,93034.0,5001-10000,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,University of Wollongong,3.9,NSW,48.0,0,0,0,0,0,0,0,0,0,0
Business Analyst - Data,111859.0,5001-10000,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,Infosys Singapore & Australia,3.8,NSW,42.0,0,0,0,0,0,0,0,0,0,0
Software Developer: Data Analytics,100000.0,,,,,,0,Midas Pty Ltd,,NSW,,0,1,0,0,0,1,0,1,0,0
Senior Pricing Analyst,121639.0,>10000,Company - Public,Insurance Carriers,Insurance,,0,QBE,3.8,NSW,137.0,0,0,1,0,0,0,1,1,0,0
Actuarial Analyst,110515.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -icare,4.1,NSW,,0,0,1,0,0,1,0,1,1,0
Senior Data Analyst - Marketing,101464.0,Unknown,Company - Public,,,,0,Coach4expats,,NSW,,1,1,1,1,0,1,0,1,1,1
Senior Business Analyst,115146.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,IOOF Holdings,3.3,NSW,177.0,0,0,1,0,0,0,0,0,0,0
Insights Analyst,83457.0,>10000,Company - Private,Security & Protective,Management & Consulting,$2 to $5 billion (USD),0,Risk,2.5,NSW,27.0,1,1,1,1,0,1,0,1,1,1
Business Analyst,109564.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,Link Group,3.3,NSW,18.0,0,0,1,0,0,0,0,0,1,0
Senior Data Analyst,145000.0,201-500,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),0,Salt Recruitment,3.3,NSW,13.0,1,0,1,1,1,0,0,0,0,1
