job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,company_name,company_rating,state,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting,company_age,senior
Senior Business Analyst - Data,106066.0,,Company - Public,,,,Rest,,NSW,0,1,1,0,0,0,0,0,1,1,,1
"Senior Data Analyst, SBS On Demand",85592.0,1001-5000,Company - Private,Broadcast Media,Media & Communication,,SBS,3.9,NSW,1,1,0,1,0,0,0,1,0,1,48.0,1
Spatial Data Analyst - Graduate Opportunity,104022.0,1-50,Company - Private,,,,Ever Better Recruitment (EBR),2.1,NSW,0,0,0,0,0,0,0,1,0,0,,0
Cost Analyst,100075.0,1001-5000,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD),WiseTech Global,4.2,NSW,0,0,1,0,0,0,0,0,1,0,29.0,0
BI Implementation Specialist,69282.0,501-1000,Government,Banking & Lending,Finance,$10+ billion (USD),Reserve Bank of Australia,3.5,NSW,1,1,1,1,1,0,0,0,0,1,,0
Senior Analytics & Insights Analyst,83666.0,1001-5000,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),TPG Telecom,4.0,NSW,1,1,0,1,0,0,0,1,1,1,3.0,1
IT Risk and Assurance Analyst,93034.0,5001-10000,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),University of Wollongong,3.9,NSW,0,0,0,0,0,0,0,0,0,0,48.0,0
Business Analyst - Data,111859.0,5001-10000,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),Infosys Singapore & Australia,3.8,NSW,0,0,0,0,0,0,0,0,0,0,42.0,0
Software Developer: Data Analytics,100000.0,,,,,,Midas Pty Ltd,,NSW,0,1,0,0,0,1,0,1,0,0,,0
Senior Pricing Analyst,121639.0,>10000,Company - Public,Insurance Carriers,Insurance,,QBE,3.8,NSW,0,0,1,0,0,0,1,1,0,0,137.0,1
Actuarial Analyst,110515.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,NSW Government -icare,4.1,NSW,0,0,1,0,0,1,0,1,1,0,,0
